"","year","state","class","export","import","export_share","import_share"
"109","2015","Georgia","Miscellaneous",648.58,2353.37,"1.68%","2.65%"
"110","2015","Georgia","Plastics / Rubbers",198.31,1236.48,"0.51%","1.39%"
"111","2015","Georgia","Textiles",832.66,0,"2.16%","0.00%"
"112","2015","Georgia","Top 25",16644.57,32133.65,"43.13%","36.23%"
"113","2015","Georgia","Wood & Wood Products",2602.05,0,"6.74%","0.00%"
"114","2015","Georgia","World",38596.03,88697.4,"100.00%","100.00%"
"115","2015","Hawaii","Chemicals & Allied Industries",2.58,0,"0.14%","0.00%"
"116","2015","Hawaii","Food and live animals",71.24,79.63,"3.76%","2.12%"
"117","2015","Hawaii","Machinery /Electrical/ Transportation",14.99,629.86,"0.79%","16.77%"
"118","2015","Hawaii","Metals",42.69,0,"2.25%","0.00%"
"119","2015","Hawaii","Mineral Products",290.24,2153.46,"15.30%","57.34%"
"120","2015","Hawaii","Miscellaneous",25.07,42.77,"1.32%","1.14%"
"121","2015","Hawaii","Raw Hides, Skins, Leather, & Furs",0,8.67,"0.00%","0.23%"
"122","2015","Hawaii","Stone / Glass",5.21,18.84,"0.27%","0.50%"
"123","2015","Hawaii","Top 25",458.47,2933.23,"24.18%","78.10%"
"124","2015","Hawaii","Wood & Wood Products",6.47,0,"0.34%","0.00%"
"125","2015","Hawaii","World",1896.39,3755.81,"100.00%","100.00%"
"126","2015","Idaho","Chemicals & Allied Industries",150.07,95.34,"3.49%","1.85%"
"127","2015","Idaho","Food and live animals",287.07,99.24,"6.67%","1.92%"
"128","2015","Idaho","Machinery /Electrical/ Transportation",1417.47,2743.95,"32.95%","53.12%"
"129","2015","Idaho","Mineral Products",88.77,61.2,"2.06%","1.18%"
"130","2015","Idaho","Miscellaneous",403.42,88.14,"9.38%","1.71%"
"131","2015","Idaho","Stone / Glass",3.04,0.13,"0.07%","0.00%"
"132","2015","Idaho","Top 25",2374.96,3227.74,"55.20%","62.48%"
"133","2015","Idaho","Wood & Wood Products",25.11,139.75,"0.58%","2.71%"
"134","2015","Idaho","World",4302.09,5165.63,"100.00%","100.00%"
"135","2015","Illinois","Chemicals & Allied Industries",1920.96,3134.18,"3.03%","2.58%"
"136","2015","Illinois","Food and live animals",2961.85,2171.13,"4.67%","1.79%"
"137","2015","Illinois","Machinery /Electrical/ Transportation",11173.35,23792.2,"17.63%","19.61%"
"138","2015","Illinois","Metals",0,1553.98,"0.00%","1.28%"
"139","2015","Illinois","Mineral Products",2742.54,19554.85,"4.33%","16.12%"
"140","2015","Illinois","Miscellaneous",1020.6,1568,"1.61%","1.29%"
"141","2015","Illinois","Plastics / Rubbers",0,598.13,"0.00%","0.49%"
"142","2015","Illinois","Top 25",19819.31,52372.46,"31.28%","43.17%"
"143","2015","Illinois","World",63368.69,121308.29,"100.00%","100.00%"
"144","2015","Indiana","Chemicals & Allied Industries",5933.44,7173.26,"17.54%","14.61%"
"145","2015","Indiana","Machinery /Electrical/ Transportation",8771.61,4364.31,"25.94%","8.89%"
"146","2015","Indiana","Metals",0,140.83,"0.00%","0.29%"
"147","2015","Indiana","Mineral Products",54.16,0,"0.16%","0.00%"
"148","2015","Indiana","Miscellaneous",1422.41,1415.68,"4.21%","2.88%"
"149","2015","Indiana","Top 25",16403.9,13094.08,"48.50%","26.66%"
"150","2015","Indiana","Wood & Wood Products",222.28,0,"0.66%","0.00%"
"151","2015","Indiana","World",33819.14,49110.94,"100.00%","100.00%"
"152","2015","Iowa","Chemicals & Allied Industries",521.57,392.6,"3.94%","4.19%"
"153","2015","Iowa","Food and live animals",3828.15,244.31,"28.92%","2.61%"
"154","2015","Iowa","Machinery /Electrical/ Transportation",1208.79,1409.28,"9.13%","15.05%"
"155","2015","Iowa","Metals",249.95,78.4,"1.89%","0.84%"
"156","2015","Iowa","Mineral Products",130.55,309.74,"0.99%","3.31%"
"157","2015","Iowa","Miscellaneous",0,143.45,"0.00%","1.53%"
"158","2015","Iowa","Plastics / Rubbers",0,59.92,"0.00%","0.64%"
"159","2015","Iowa","Top 25",5939.01,2637.71,"44.86%","28.17%"
"160","2015","Iowa","World",13238.36,9363.06,"100.00%","100.00%"
"161","2015","Kansas","Chemicals & Allied Industries",100,4.73,"0.94%","0.04%"
"162","2015","Kansas","Food and live animals",2612.58,169.09,"24.44%","1.44%"
"163","2015","Kansas","Footwear / Headgear",0,877.07,"0.00%","7.45%"
"164","2015","Kansas","Machinery /Electrical/ Transportation",2575.67,2565.36,"24.10%","21.79%"
"165","2015","Kansas","Metals",107.72,45.53,"1.01%","0.39%"
"166","2015","Kansas","Miscellaneous",112.42,26,"1.05%","0.22%"
"167","2015","Kansas","Plastics / Rubbers",0,0,"0.00%","0.00%"
"168","2015","Kansas","Raw Hides, Skins, Leather, & Furs",152.46,0,"1.43%","0.00%"
"169","2015","Kansas","Top 25",5660.87,3729.32,"52.96%","31.68%"
"170","2015","Kansas","Wood & Wood Products",0,41.55,"0.00%","0.35%"
"171","2015","Kansas","World",10689.48,11773.56,"100.00%","100.00%"
"172","2015","Kentucky","Chemicals & Allied Industries",264.88,3238.75,"0.96%","8.38%"
"173","2015","Kentucky","Food and live animals",457.45,0,"1.66%","0.00%"
"174","2015","Kentucky","Machinery /Electrical/ Transportation",13558.4,10684.65,"49.06%","27.64%"
"175","2015","Kentucky","Metals",0,338.83,"0.00%","0.88%"
"176","2015","Kentucky","Miscellaneous",554.46,704.67,"2.01%","1.82%"
"177","2015","Kentucky","Plastics / Rubbers",103.41,0,"0.37%","0.00%"
"178","2015","Kentucky","Top 25",14938.6,14966.91,"54.05%","38.71%"
"179","2015","Kentucky","World",27636.6,38661.44,"100.00%","100.00%"
"180","2015","Louisiana","Chemicals & Allied Industries",714.41,1984.66,"1.47%","5.63%"
"181","2015","Louisiana","Food and live animals",17316.46,859.91,"35.57%","2.44%"
"182","2015","Louisiana","Machinery /Electrical/ Transportation",0,138.3,"0.00%","0.39%"
"183","2015","Louisiana","Metals",0,460.9,"0.00%","1.31%"
"184","2015","Louisiana","Mineral Products",16163.35,23064.98,"33.20%","65.43%"
"185","2015","Louisiana","Plastics / Rubbers",1161.4,199.47,"2.39%","0.57%"
"186","2015","Louisiana","Top 25",35355.6,26708.2,"72.63%","75.77%"
"187","2015","Louisiana","World",48678.64,35250.13,"100.00%","100.00%"
"188","2015","Maine","Chemicals & Allied Industries",70.08,39.9,"2.54%","1.08%"
"189","2015","Maine","Food and live animals",102.4,67.23,"3.71%","1.82%"
"190","2015","Maine","Footwear / Headgear",0,155.42,"0.00%","4.22%"
"191","2015","Maine","Machinery /Electrical/ Transportation",541.31,77.53,"19.60%","2.10%"
"192","2015","Maine","Metals",1.91,13.67,"0.07%","0.37%"
"193","2015","Maine","Mineral Products",92.4,623.35,"3.35%","16.91%"
"194","2015","Maine","Miscellaneous",73.53,21.43,"2.66%","0.58%"
"195","2015","Maine","Textiles",0,86.13,"0.00%","2.34%"
"196","2015","Maine","Top 25",1354.52,1315.66,"49.05%","35.69%"
"197","2015","Maine","Wood & Wood Products",472.88,231,"17.12%","6.27%"
"198","2015","Maine","World",2761.77,3686.6,"100.00%","100.00%"
"199","2015","Maryland","Chemicals & Allied Industries",1063.67,107.84,"10.58%","0.34%"
"200","2015","Maryland","Food and live animals",0,600.85,"0.00%","1.91%"
"201","2015","Maryland","Machinery /Electrical/ Transportation",2080.9,11485.18,"20.70%","36.44%"
"202","2015","Maryland","Metals",53.56,2544.59,"0.53%","8.07%"
"203","2015","Maryland","Mineral Products",25.59,0,"0.25%","0.00%"
"204","2015","Maryland","Miscellaneous",141.81,125.82,"1.41%","0.40%"
"205","2015","Maryland","Plastics / Rubbers",54.43,0,"0.54%","0.00%"
"206","2015","Maryland","Stone / Glass",136.68,699.97,"1.36%","2.22%"
"207","2015","Maryland","Top 25",3764.81,15693.08,"37.45%","49.79%"
"208","2015","Maryland","Wood & Wood Products",208.17,128.83,"2.07%","0.41%"
"209","2015","Maryland","World",10052.1,31517.98,"100.00%","100.00%"
"210","2015","Massachusetts","Chemicals & Allied Industries",853.06,533.97,"3.37%","1.59%"
"211","2015","Massachusetts","Food and live animals",0,698.07,"0.00%","2.07%"
"212","2015","Massachusetts","Footwear / Headgear",0,304.97,"0.00%","0.91%"
"213","2015","Massachusetts","Machinery /Electrical/ Transportation",4553.67,3237.95,"18.01%","9.62%"
"214","2015","Massachusetts","Metals",132.27,0,"0.52%","0.00%"
"215","2015","Massachusetts","Mineral Products",0,2552.67,"0.00%","7.58%"
"216","2015","Massachusetts","Miscellaneous",3434.19,3340.45,"13.58%","9.92%"
"217","2015","Massachusetts","Stone / Glass",182.77,1323.82,"0.72%","3.93%"
"218","2015","Massachusetts","Top 25",9155.97,11991.91,"36.20%","35.63%"
"219","2015","Massachusetts","World",25289.29,33660.86,"100.00%","100.00%"
"220","2015","Michigan","Chemicals & Allied Industries",549.04,0,"1.02%","0.00%"
"221","2015","Michigan","Machinery /Electrical/ Transportation",23196.65,76125.08,"43.00%","61.28%"
"222","2015","Michigan","Metals",343.95,0,"0.64%","0.00%"
"223","2015","Michigan","Mineral Products",1233.68,2614.15,"2.29%","2.10%"
"224","2015","Michigan","Miscellaneous",466.02,2936.48,"0.86%","2.36%"
"225","2015","Michigan","Plastics / Rubbers",535.05,0,"0.99%","0.00%"
"226","2015","Michigan","Stone / Glass",943.49,0,"1.75%","0.00%"
"227","2015","Michigan","Top 25",27267.87,81675.72,"50.55%","65.75%"
"228","2015","Michigan","World",53944.93,124225.34,"100.00%","100.00%"
"229","2015","Minnesota","Chemicals & Allied Industries",0,299.36,"0.00%","1.05%"
"230","2015","Minnesota","Food and live animals",480.27,0,"2.40%","0.00%"
"231","2015","Minnesota","Footwear / Headgear",0,152.51,"0.00%","0.53%"
"232","2015","Minnesota","Machinery /Electrical/ Transportation",2193.27,2368,"10.96%","8.28%"
"233","2015","Minnesota","Metals",0,154.7,"0.00%","0.54%"
"234","2015","Minnesota","Mineral Products",120.2,4474.75,"0.60%","15.65%"
"235","2015","Minnesota","Miscellaneous",2438.14,2498.67,"12.18%","8.74%"
"236","2015","Minnesota","Plastics / Rubbers",437.48,141.44,"2.19%","0.49%"
"237","2015","Minnesota","Textiles",0,146.95,"0.00%","0.51%"
"238","2015","Minnesota","Top 25",5851.06,10422.07,"29.24%","36.46%"
"239","2015","Minnesota","Wood & Wood Products",181.71,185.69,"0.91%","0.65%"
"240","2015","Minnesota","World",20013.27,28588.02,"100.00%","100.00%"
"241","2015","Mississippi","Chemicals & Allied Industries",650.44,367.63,"6.00%","2.61%"
"242","2015","Mississippi","Food and live animals",76.06,152.8,"0.70%","1.09%"
"243","2015","Mississippi","Footwear / Headgear",0,4.3,"0.00%","0.03%"
"244","2015","Mississippi","Machinery /Electrical/ Transportation",1161.45,1753.25,"10.71%","12.45%"
"245","2015","Mississippi","Metals",0,58.67,"0.00%","0.42%"
"246","2015","Mississippi","Mineral Products",3308.97,2874.74,"30.50%","20.42%"
"247","2015","Mississippi","Miscellaneous",876.04,907.78,"8.08%","6.45%"
"248","2015","Mississippi","Textiles",296.34,233.3,"2.73%","1.66%"
"249","2015","Mississippi","Top 25",7088.25,6352.46,"65.34%","45.12%"
"250","2015","Mississippi","Transportation",143,0,"1.32%","0.00%"
"251","2015","Mississippi","Wood & Wood Products",575.94,0,"5.31%","0.00%"
"252","2015","Mississippi","World",10848.57,14078.39,"100.00%","100.00%"
"253","2015","Missouri","Chemicals & Allied Industries",1052.46,739.68,"7.71%","3.99%"
"254","2015","Missouri","Food and live animals",1316.54,392.83,"9.65%","2.12%"
"255","2015","Missouri","Machinery /Electrical/ Transportation",2137.61,1988.83,"15.66%","10.74%"
"256","2015","Missouri","Metals",118.01,623.68,"0.86%","3.37%"
"257","2015","Missouri","Mineral Products",186.25,713.68,"1.36%","3.85%"
"258","2015","Missouri","Miscellaneous",191.9,484,"1.41%","2.61%"
"259","2015","Missouri","Plastics / Rubbers",0,101.18,"0.00%","0.55%"
"260","2015","Missouri","Raw Hides, Skins, Leather, & Furs",204.63,0,"1.50%","0.00%"
"261","2015","Missouri","Top 25",5280.43,5043.86,"38.69%","27.24%"
"262","2015","Missouri","Wood & Wood Products",73.03,0,"0.54%","0.00%"
"263","2015","Missouri","World",13646.63,18517.84,"100.00%","100.00%"
"264","2015","Montana","Chemicals & Allied Industries",294.87,132.36,"21.00%","3.26%"
"265","2015","Montana","Food and live animals",230.53,42.56,"16.42%","1.05%"
"266","2015","Montana","Machinery /Electrical/ Transportation",119.38,58.1,"8.50%","1.43%"
"267","2015","Montana","Metals",0,11.01,"0.00%","0.27%"
"268","2015","Montana","Mineral Products",243.36,2693.65,"17.33%","66.30%"
"269","2015","Montana","Miscellaneous",3.74,0,"0.27%","0.00%"
"270","2015","Montana","Stone / Glass",0,185.07,"0.00%","4.56%"
"271","2015","Montana","Top 25",891.88,3189.11,"63.52%","78.50%"
"272","2015","Montana","Wood & Wood Products",0,66.37,"0.00%","1.63%"
"273","2015","Montana","World",1404.09,4062.68,"100.00%","100.00%"
"274","2015","Nebraska","Chemicals & Allied Industries",334.11,454.82,"5.01%","11.00%"
"275","2015","Nebraska","Food and live animals",2185.49,223.71,"32.80%","5.41%"
"276","2015","Nebraska","Machinery /Electrical/ Transportation",483.39,413.62,"7.25%","10.00%"
"277","2015","Nebraska","Mineral Products",173.52,0,"2.60%","0.00%"
"278","2015","Nebraska","Miscellaneous",95.53,71.07,"1.43%","1.72%"
"279","2015","Nebraska","Plastics / Rubbers",46.36,47.96,"0.70%","1.16%"
"280","2015","Nebraska","Raw Hides, Skins, Leather, & Furs",401.92,0,"6.03%","0.00%"
"281","2015","Nebraska","Top 25",3720.34,1257.73,"55.83%","30.41%"
"282","2015","Nebraska","Wood & Wood Products",0,46.55,"0.00%","1.13%"
"283","2015","Nebraska","World",6663.67,4135.86,"100.00%","100.00%"
"284","2015","Nevada","Chemicals & Allied Industries",0,0,"0.00%","0.00%"
"285","2015","Nevada","Food and live animals",95.21,128.83,"1.10%","1.34%"
"286","2015","Nevada","Machinery /Electrical/ Transportation",1035.6,3156.81,"11.95%","32.90%"
"287","2015","Nevada","Mineral Products",327.93,0,"3.78%","0.00%"
"288","2015","Nevada","Miscellaneous",644.55,396.25,"7.44%","4.13%"
"289","2015","Nevada","Plastics / Rubbers",0,16.2,"0.00%","0.17%"
"290","2015","Nevada","Stone / Glass",4421.98,500.94,"51.02%","5.22%"
"291","2015","Nevada","Textiles",0,199.14,"0.00%","2.08%"
"292","2015","Nevada","Top 25",6525.26,4398.17,"75.29%","45.83%"
"293","2015","Nevada","World",8666.52,9596.28,"100.00%","100.00%"
"294","2015","New Hampshire","Chemicals & Allied Industries",9,0,"0.22%","0.00%"
"295","2015","New Hampshire","Food and live animals",0,0,"0.00%","0.00%"
"296","2015","New Hampshire","Footwear / Headgear",0,339.91,"0.00%","3.65%"
"297","2015","New Hampshire","Machinery /Electrical/ Transportation",1291.68,477.93,"32.28%","5.13%"
"298","2015","New Hampshire","Mineral Products",0,4146.35,"0.00%","44.52%"
"299","2015","New Hampshire","Miscellaneous",71.45,307.29,"1.79%","3.30%"
"300","2015","New Hampshire","Plastics / Rubbers",49.25,183.35,"1.23%","1.97%"
"301","2015","New Hampshire","Stone / Glass",63.44,0,"1.59%","0.00%"
"302","2015","New Hampshire","Textiles",0,56.67,"0.00%","0.61%"
"303","2015","New Hampshire","Top 25",1485.26,5511.51,"37.12%","59.18%"
"304","2015","New Hampshire","Wood & Wood Products",0.44,0,"0.01%","0.00%"
"305","2015","New Hampshire","World",4001.32,9313.84,"100.00%","100.00%"
"306","2015","New Jersey","Chemicals & Allied Industries",2273.14,9974.18,"7.09%","8.34%"
"307","2015","New Jersey","Food and live animals",0,1706.05,"0.00%","1.43%"
"308","2015","New Jersey","Machinery /Electrical/ Transportation",3237.21,14076.42,"10.10%","11.77%"
"309","2015","New Jersey","Metals",471.78,437.39,"1.47%","0.37%"
"310","2015","New Jersey","Mineral Products",1245.36,15039.97,"3.88%","12.58%"
"311","2015","New Jersey","Miscellaneous",179.58,1479.92,"0.56%","1.24%"
"312","2015","New Jersey","Raw Hides, Skins, Leather, & Furs",0,439.81,"0.00%","0.37%"
"313","2015","New Jersey","Stone / Glass",2895.25,1293.19,"9.03%","1.08%"
"314","2015","New Jersey","Top 25",10624.84,44446.9,"33.14%","37.18%"
"315","2015","New Jersey","Wood & Wood Products",322.51,0,"1.01%","0.00%"
"316","2015","New Jersey","World",32063,119560.42,"100.00%","100.00%"
"317","2015","New Mexico","Chemicals & Allied Industries",52.11,18.26,"1.38%","0.81%"
"318","2015","New Mexico","Food and live animals",46.09,118,"1.22%","5.25%"
"319","2015","New Mexico","Machinery /Electrical/ Transportation",2296.76,705.01,"60.73%","31.35%"
"320","2015","New Mexico","Metals",63.33,24.82,"1.67%","1.10%"
"321","2015","New Mexico","Miscellaneous",111.76,46.4,"2.96%","2.06%"
"322","2015","New Mexico","Plastics / Rubbers",71.76,104.18,"1.90%","4.63%"
"323","2015","New Mexico","Stone / Glass",18.85,0,"0.50%","0.00%"
"324","2015","New Mexico","Textiles",0,32.99,"0.00%","1.47%"
"325","2015","New Mexico","Top 25",2660.64,1049.69,"70.36%","46.68%"
"326","2015","New Mexico","World",3781.7,2248.57,"100.00%","100.00%"
"327","2015","New York","Chemicals & Allied Industries",339.96,1472.23,"0.41%","1.11%"
"328","2015","New York","Food and live animals",0,1258.16,"0.00%","0.94%"
"329","2015","New York","Machinery /Electrical/ Transportation",5276.98,1559.07,"6.35%","1.17%"
"330","2015","New York","Metals",865.99,509.12,"1.04%","0.38%"
"331","2015","New York","Mineral Products",808.37,2450.94,"0.97%","1.84%"
"332","2015","New York","Miscellaneous",9013.92,8943.95,"10.84%","6.71%"
"333","2015","New York","Stone / Glass",27025.59,29914.07,"32.51%","22.46%"
"334","2015","New York","Textiles",0,2318.09,"0.00%","1.74%"
"335","2015","New York","Top 25",43330.82,48425.65,"52.13%","36.36%"
"336","2015","New York","World",83124.55,133199.04,"100.00%","100.00%"
"337","2015","North Carolina","Chemicals & Allied Industries",1306.29,2920.89,"4.33%","5.69%"
"338","2015","North Carolina","Food and live animals",1074.4,0,"3.56%","0.00%"
"339","2015","North Carolina","Machinery /Electrical/ Transportation",3902.76,6311.27,"12.92%","12.30%"
"340","2015","North Carolina","Metals",135.7,0,"0.45%","0.00%"
"341","2015","North Carolina","Miscellaneous",267.1,630.72,"0.88%","1.23%"
"342","2015","North Carolina","Plastics / Rubbers",0,226.07,"0.00%","0.44%"
"343","2015","North Carolina","Textiles",660.23,4010.58,"2.19%","7.81%"
"344","2015","North Carolina","Top 25",7943.83,14099.53,"26.30%","27.47%"
"345","2015","North Carolina","Wood & Wood Products",597.38,0,"1.98%","0.00%"
"346","2015","North Carolina","World",30201.79,51329.83,"100.00%","100.00%"
"347","2015","North Dakota","Chemicals & Allied Industries",126.16,291.53,"3.13%","9.29%"
"348","2015","North Dakota","Food and live animals",526.89,196.04,"13.08%","6.25%"
"349","2015","North Dakota","Machinery /Electrical/ Transportation",479.91,478.17,"11.92%","15.24%"
"350","2015","North Dakota","Metals",0,37.19,"0.00%","1.19%"
"351","2015","North Dakota","Mineral Products",1677.92,82.69,"41.66%","2.64%"
"352","2015","North Dakota","Plastics / Rubbers",16.67,0,"0.41%","0.00%"
